columna_time0bk_duracion_transito_combined,ascension_recta_declinacion_combined,columna_time0bk_err1_columna_time0bk_err2_combined,columna_duration_err1_columna_duration_err2_combined,magnitud_kepler_temperatura_estrella_combined,columna_teq_profundidad_transito_combined,columna_impact_columna_impact_err2_combined,gravedad_superficial_radio_estrella_combined,columna_period_err1_columna_period_err2_combined,columna_impact_err1_columna_model_snr_combined,columna_depth_err1_columna_depth_err2_combined,columna_srad_err1_columna_srad_err2_combined,columna_steff_err1_columna_steff_err2_combined,columna_slogg_err1_columna_slogg_err2_combined,columna_insol_err1_periodo_orbital_combined,columna_insol_columna_insol_err2_combined,columna_prad_err1_radio_planeta_combined,disposicion_literatura,disposicion_kepler
0.028989499999999998,0.6431549999999999,0.5,0.5,7.7790535,0.026426,0.4994935,0.417428,0.5,0.003836,0.5,0.5013239999999999,0.536926,0.481971,3.95e-05,0.5000030000000001,1.1499999999999998e-05,CONFIRMED,CANDIDATE
0.031616,0.6431549999999999,0.49999999999999994,0.5,7.7790535,0.014558,0.49917249999999996,0.417428,0.4999999999999999,0.0017694999999999998,0.5,0.5013239999999999,0.536926,0.481971,0.000209,0.5000005,1.45e-05,CONFIRMED,CANDIDATE
0.026711000000000002,0.758853,0.5,0.49999999999999994,7.8385895,0.0244455,0.5041575,0.42454050000000004,0.5000000000000001,0.034176,0.5,0.5031845,0.5669209999999999,0.4420375,8e-05,0.500001,0.0001265,'FALSE POSITIVE','FALSE POSITIVE'
0.0269145,0.5013865,0.5,0.5,7.917276,0.0494035,0.5055535,0.4262535,0.5,0.028591000000000002,0.5,0.5027485,0.5667490000000001,0.4484085,9.850000000000001e-05,0.50002,0.00028,'FALSE POSITIVE','FALSE POSITIVE'
0.024676,0.573144,0.5,0.5,7.881814,0.047354499999999994,0.499448,0.4149595,0.5,0.003632,0.4999999999999999,0.5044740000000001,0.565125,0.4367845,0.00013,0.5000145,2.7e-05,CONFIRMED,CANDIDATE
0.035144999999999996,0.745293,0.5000000000000001,0.5,7.9848805,0.028152,0.49906100000000003,0.419312,0.5,0.0038475000000000002,0.5,0.5043075,0.5739585,0.423479,5.6999999999999996e-05,0.5000015,3.9e-05,CONFIRMED,CANDIDATE
0.030551499999999995,0.745293,0.5000000000000001,0.5,7.9848805,0.038981,0.49929550000000006,0.419312,0.5,0.0030325000000000005,0.5,0.5043075,0.5739585,0.423479,7.3e-05,0.5000074999999999,2.7499999999999998e-05,CONFIRMED,CANDIDATE
0.030415499999999998,0.745293,0.49999999999999994,0.5,7.9848805,0.0456615,0.49933650000000007,0.419312,0.5,0.0020675000000000003,0.4999999999999999,0.5043075,0.5739585,0.423479,0.00011850000000000001,0.5000140000000001,1.6e-05,CONFIRMED,CANDIDATE
0.0222835,0.6115515,0.5,0.5,6.4647185,0.0450495,0.5054275,0.37443850000000006,0.5000000000000001,0.044328000000000006,0.5,0.502786,0.546913,0.521224,7.6e-05,0.5000025000000001,0.0002465,'FALSE POSITIVE','FALSE POSITIVE'
0.0322135,0.5377540000000001,0.5,0.5,8.010035499999999,0.0212295,0.4998195,0.4189485,0.5,0.010471500000000002,0.5,0.5001885,0.5319205,0.5165939999999999,6.15e-05,0.5000009999999999,1.9e-05,CONFIRMED,CANDIDATE
